instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_time_ms,min_iterations,max_iterations,mean_iterations
TSPA,gulasz,7692,8215,7977.7,104.17370265,225,357,273.45
TSPA,hae_op2_ls,7618,8279,7931.15,104.15462529999999,208,306,233.95
TSPA,imhae_12,8096,8527,8261.45,104.6483347,3395,4397,3728.55
TSPA,imhae_4,7618,8431,8091.1,104.38390755,1234,1802,1431.0
TSPA,imhae_8,7983,8527,8285.85,104.42984355000002,3034,4054,3441.55
TSPA,msls,7438,7902,7660.4,101.70983820000001,200,200,200.0
TSPA,p_gulasz_12,8073,8501,8245.35,104.76366594999999,1993,2329,2144.2
TSPA,p_gulasz_4,8043,8501,8215.35,104.42200869999999,917,1160,1044.6
TSPA,p_gulasz_8,8096,8501,8279.3,104.48151364999998,1863,2260,2056.3
TSPB,gulasz,19754,20106,19942.4,108.24881984999999,193,237,209.6
TSPB,hae_op2_ls,19622,20083,19835.8,108.20276644999998,195,236,209.4
TSPB,imhae_12,19812,20194,20032.2,108.744611,2724,3338,2977.3
TSPB,imhae_4,19710,20083,19963.65,108.39468145000001,1066,1185,1131.05
TSPB,imhae_8,19930,20194,20049.75,108.5107953,2766,3132,2887.85
TSPB,msls,19019,19777,19278.3,108.42064244999999,200,200,200.0
TSPB,p_gulasz_12,19963,20209,20057.15,108.95522854999999,1648,1747,1701.75
TSPB,p_gulasz_4,19920,20116,20028.15,108.47817500000001,797,866,830.55
TSPB,p_gulasz_8,19976,20209,20080.85,108.65789385000001,1545,1700,1629.7
