Instance,Metric_Type,Correlation
TSPA,Best_V,0.31171772722439794
TSPA,Avg_V,0.23185016837154485
TSPA,Best_E,0.4705209311527154
TSPA,Avg_E,0.48496548404791173
TSPB,Best_V,0.42173193117890745
TSPB,Avg_V,0.31032085010857147
TSPB,Best_E,0.6613773829459079
TSPB,Avg_E,0.7278661131115657
