instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_time_ms
TSPA,ils,7487,8410,7929.65,37933.881425399995
TSPA,lns,7285,8496,8057.6,37930.937090700005
TSPA,msls,7525,7933,7724.9,35251.0106869
TSPB,ils,19249,19995,19656.1,37934.20870225
TSPB,lns,19789,20083,19985.9,37932.93198815
TSPB,msls,19185,19728,19430.65,40606.46017145
