instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_time_ms
TSPA,candidate,4696,7283,6206.84,41.15527275
TSPA,hybrid,4508,8146,6225.83,13.110935219999998
TSPA,lazy_pq,4179,7305,5975.85,21.954780999999997
TSPA,list_memory,3644,8119,5994.28,17.16263652
TSPB,candidate,15495,19246,17870.5,44.51071986
TSPB,hybrid,16219,19167,17779.48,13.63698182
TSPB,lazy_pq,14821,19288,17697.41,24.309545330000002
TSPB,list_memory,15903,19414,17698.47,19.20534251
